"Day ","Items ","Note ","Amount "
"89","Retail","Revenue - Retail Sales Los Angeles - White Wine","4455"
"89","Rental Expense","Cash Payment - Rental - New York","-4020"
"89","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"89","Rental Expense","Cash Payment - Rental - Miami","-1800"
"89","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"88","Sales E Commerce","Revenue - ECM SO ID: 14709","29325"
"88","Sales E Commerce","Revenue - ECM SO ID: 14873","15276"
"88","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 15250 ","-200850"
"88","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 15250 ","-227630"
"88","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 15250 ","-254410"
"88","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 15476 ","-344760"
"88","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"88","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","-800"
"88","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","-600"
"88","Marketing Expense","Cash Payment - Marketing - New York - White Wine","-600"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","-800"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","-600"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","-600"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","-800"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","-800"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","-800"
"88","Salary Expense","Cash Payment - Salary Expense","-22145"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14739","-11"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15266","-83"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15360","-125"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15422","-317"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15426","-22"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15427","-156"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15433","-11"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15439","-332"
"88","Retail","Revenue - Retail Sales New York - Sparkling Wine","24932"
"88","Retail","Revenue - Retail Sales New York - Red Wine","10512"
"88","Retail","Revenue - Retail Sales New York - White Wine","11336"
"88","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","14856"
"88","Retail","Revenue - Retail Sales Detroit - Red Wine","10287"
"88","Retail","Revenue - Retail Sales Detroit - White Wine","10998"
"88","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","10750"
"88","Retail","Revenue - Retail Sales Los Angeles - Red Wine","5018"
"88","Retail","Revenue - Retail Sales Los Angeles - White Wine","4887"
"88","Rental Expense","Cash Payment - Rental - New York","-4020"
"88","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"88","Rental Expense","Cash Payment - Rental - Miami","-1800"
"88","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"87","Sales E Commerce","Revenue - ECM SO ID: 14517","20541"
"87","Sales E Commerce","Revenue - ECM SO ID: 14660","13003"
"87","Sales E Commerce","Revenue - ECM SO ID: 14677","15241"
"87","Sales E Commerce","Revenue - ECM SO ID: 14679","9394"
"87","Sales E Commerce","Revenue - ECM SO ID: 14700","16307"
"87","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 15049 ","-3600"
"87","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 15264 ","-80340"
"87","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"87","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","-800"
"87","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","-600"
"87","Marketing Expense","Cash Payment - Marketing - New York - White Wine","-600"
"87","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","-800"
"87","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","-600"
"87","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","-600"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","-800"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","-800"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","-800"
"87","Salary Expense","Cash Payment - Salary Expense","-22638"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15090","-109"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15173","-189"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15244","-323"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15252","-79"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15258","-105"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15259","-385"
"87","Retail","Revenue - Retail Sales New York - Sparkling Wine","22724"
"87","Retail","Revenue - Retail Sales New York - Red Wine","11616"
"87","Retail","Revenue - Retail Sales New York - White Wine","11440"
"87","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","14520"
"87","Retail","Revenue - Retail Sales Detroit - Red Wine","9018"
"87","Retail","Revenue - Retail Sales Detroit - White Wine","10556"
"87","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","10600"
"87","Retail","Revenue - Retail Sales Los Angeles - Red Wine","5044"
"87","Retail","Revenue - Retail Sales Los Angeles - White Wine","5157"
"87","Rental Expense","Cash Payment - Rental - New York","-4020"
"87","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"87","Rental Expense","Cash Payment - Rental - Miami","-1800"
"87","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"86","Sales E Commerce","Revenue - ECM SO ID: 14491","6302"
"86","Sales E Commerce","Revenue - ECM SO ID: 14504","34234"
"86","Sales E Commerce","Revenue - ECM SO ID: 14514","10764"
"86","Wholesales (B2B)","Revenue - B2B SO ID: 13250","161550"
"86","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 13250","-32000"
"86","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"86","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","-800"
"86","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","-600"
"86","Marketing Expense","Cash Payment - Marketing - New York - White Wine","-600"
"86","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","-800"
"86","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","-600"
"86","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","-600"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","-800"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","-800"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","-800"
"86","Salary Expense","Cash Payment - Salary Expense","-22638"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14892","-251"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15079","-209"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15082","-299"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15086","-207"
"86","Retail","Revenue - Retail Sales New York - Red Wine","10608"
"86","Retail","Revenue - Retail Sales New York - White Wine","10998"
"86","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","14664"
"86","Retail","Revenue - Retail Sales Detroit - Red Wine","10098"
"86","Retail","Revenue - Retail Sales Detroit - White Wine","11102"
"86","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","11000"
"86","Retail","Revenue - Retail Sales Los Angeles - Red Wine","4914"
"86","Retail","Revenue - Retail Sales Los Angeles - White Wine","5238"
"86","Rental Expense","Cash Payment - Rental - New York","-4020"
"86","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"86","Rental Expense","Cash Payment - Rental - Miami","-1800"
"86","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"85","Sales E Commerce","Revenue - ECM SO ID: 14233","1499"
"85","Sales E Commerce","Revenue - ECM SO ID: 14307","8467"
"85","Sales E Commerce","Revenue - ECM SO ID: 14315","12074"
"85","Sales E Commerce","Revenue - ECM SO ID: 14323","7296"
"85","Sales E Commerce","Revenue - ECM SO ID: 14337","16254"
"85","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14686 ","-87312"
"85","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14686 ","-97104"
"85","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14686 ","-103360"
"85","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14863 ","-36414"
"85","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14863 ","-38760"
"85","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"85","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","-800"
"85","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","-600"
"85","Marketing Expense","Cash Payment - Marketing - New York - White Wine","-600"
"85","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","-800"
"85","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","-600"
"85","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","-600"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","-800"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","-800"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","-800"
"85","Salary Expense","Cash Payment - Salary Expense","-22638"
"85","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14709","-293"
"85","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14873","-153"
"85","Retail","Revenue - Retail Sales New York - Sparkling Wine","4577"
"85","Retail","Revenue - Retail Sales New York - Red Wine","11496"
"85","Retail","Revenue - Retail Sales New York - White Wine","11778"
"85","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","13416"
"85","Retail","Revenue - Retail Sales Detroit - Red Wine","10098"
"85","Retail","Revenue - Retail Sales Detroit - White Wine","10582"
"85","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","11925"
"85","Retail","Revenue - Retail Sales Los Angeles - Red Wine","5148"
"85","Retail","Revenue - Retail Sales Los Angeles - White Wine","4725"
"85","Services","Revenue - Service Sales Order ID: 13951","31700"
"85","Rental Expense","Cash Payment - Rental - New York","-4020"
"85","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"85","Rental Expense","Cash Payment - Rental - Miami","-1800"
"85","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"84","Sales E Commerce","Revenue - ECM SO ID: 14010","11352"
"84","Sales E Commerce","Revenue - ECM SO ID: 14113","892"
"84","Sales E Commerce","Revenue - ECM SO ID: 14120","1030"
"84","Sales E Commerce","Revenue - ECM SO ID: 14131","1756"
"84","Sales E Commerce","Revenue - ECM SO ID: 14141","759"
"84","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14513 ","-204000"
"84","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14671 ","-97104"
"84","Machines","Asset Disposed","20000"
"84","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"84","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","-800"
"84","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","-600"
"84","Marketing Expense","Cash Payment - Marketing - New York - White Wine","-600"
"84","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","-800"
"84","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","-600"
"84","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","-600"
"84","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","-800"
"84","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","-800"
"84","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","-800"
"84","Salary Expense","Cash Payment - Salary Expense","-22579"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14517","-205"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14660","-130"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14677","-152"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14679","-94"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14700","-163"
"84","Retail","Revenue - Retail Sales New York - Sparkling Wine","22885"
"84","Retail","Revenue - Retail Sales New York - Red Wine","10800"
"84","Retail","Revenue - Retail Sales New York - White Wine","11336"
"84","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","13680"
"84","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","10575"
"84","Retail","Revenue - Retail Sales Los Angeles - Red Wine","5408"
"84","Retail","Revenue - Retail Sales Los Angeles - White Wine","4617"
"84","Rental Expense","Cash Payment - Rental - New York","-4020"
"84","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"84","Rental Expense","Cash Payment - Rental - Miami","-1800"
"84","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"83","Sales E Commerce","Revenue - ECM SO ID: 13777","11261"
"83","Sales E Commerce","Revenue - ECM SO ID: 13935","6854"
"83","Sales E Commerce","Revenue - ECM SO ID: 13943","10571"
"83","Sales E Commerce","Revenue - ECM SO ID: 13953","6916"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14306 ","-52763"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14704 ","-87312"
"83","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"83","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","-800"
"83","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","-600"
"83","Marketing Expense","Cash Payment - Marketing - New York - White Wine","-600"
"83","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","-800"
"83","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","-600"
"83","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","-600"
"83","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","-800"
"83","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","-800"
"83","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","-800"
"83","Salary Expense","Cash Payment - Salary Expense","-22554"
"83","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14491","-63"
"83","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14504","-342"
"83","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14514","-108"
"83","Retail","Revenue - Retail Sales New York - Sparkling Wine","23506"
"83","Retail","Revenue - Retail Sales New York - Red Wine","11712"
"83","Retail","Revenue - Retail Sales New York - White Wine","11128"
"83","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","13848"
"83","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","11925"
"83","Retail","Revenue - Retail Sales Los Angeles - Red Wine","4940"
"83","Retail","Revenue - Retail Sales Los Angeles - White Wine","4725"
"83","Services","Revenue - Service Sales Order ID: 13572","90900"
"83","Rental Expense","Cash Payment - Rental - New York","-4020"
"83","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"83","Rental Expense","Cash Payment - Rental - Miami","-1800"
"83","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"82","Sales E Commerce","Revenue - ECM SO ID: 13758","12690"
"82","Sales E Commerce","Revenue - ECM SO ID: 13765","14904"
"82","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14151 ","-50250"
"82","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14151 ","-62645"
"82","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14151 ","-58710"
"82","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14309 ","-22278"
"82","Wholesales (B2B)","Revenue - B2B SO ID: 12666","124460"
"82","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 12666","-27000"
"82","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"82","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","-800"
"82","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","-600"
"82","Marketing Expense","Cash Payment - Marketing - New York - White Wine","-600"
"82","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","-800"
"82","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","-600"
"82","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","-600"
"82","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","-800"
"82","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","-800"
"82","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","-800"
"82","Salary Expense","Cash Payment - Salary Expense","-22554"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14233","-15"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14307","-85"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14315","-121"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14323","-73"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14337","-163"
"82","Retail","Revenue - Retail Sales New York - Sparkling Wine","68816"
"82","Retail","Revenue - Retail Sales New York - Red Wine","39888"
"82","Retail","Revenue - Retail Sales New York - White Wine","41808"
"82","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","16250"
"82","Retail","Revenue - Retail Sales Los Angeles - Red Wine","19604"
"82","Retail","Revenue - Retail Sales Los Angeles - White Wine","17766"
"82","Rental Expense","Cash Payment - Rental - New York","-4020"
"82","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"82","Rental Expense","Cash Payment - Rental - Miami","-1800"
"82","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"81","Sales E Commerce","Revenue - ECM SO ID: 13563","14350"
"81","Sales E Commerce","Revenue - ECM SO ID: 13571","10825"
"81","Sales E Commerce","Revenue - ECM SO ID: 13583","11995"
"81","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14114 ","-234634"
"81","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14114 ","-393357"
"81","Human Resource Expense","Cash Payment - Staff Recruiting","-15000"
"81","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"81","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","-800"
"81","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","-600"
"81","Marketing Expense","Cash Payment - Marketing - New York - White Wine","-600"
"81","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","-800"
"81","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","-600"
"81","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","-600"
"81","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","-800"
"81","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","-800"
"81","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","-800"
"81","Salary Expense","Cash Payment - Salary Expense","-22343"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14010","-114"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14113","-9"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14120","-10"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14131","-18"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14141","-8"
"81","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 330","-15000"
"81","Retail","Revenue - Retail Sales New York - Sparkling Wine","75578"
"81","Retail","Revenue - Retail Sales New York - Red Wine","12216"
"81","Retail","Revenue - Retail Sales New York - White Wine","45396"
"81","Retail","Revenue - Retail Sales Detroit - Red Wine","17874"
"81","Retail","Revenue - Retail Sales Detroit - White Wine","7176"
"81","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","34150"
"81","Retail","Revenue - Retail Sales Los Angeles - Red Wine","19578"
"81","Retail","Revenue - Retail Sales Los Angeles - White Wine","18252"
"81","Services","Revenue - Service Sales Order ID: 13004","125100"
"81","Rental Expense","Cash Payment - Rental - New York","-4020"
"81","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"81","Rental Expense","Cash Payment - Rental - Miami","-1800"
"81","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"80","Sales E Commerce","Revenue - ECM SO ID: 13222","17146"
"80","Sales E Commerce","Revenue - ECM SO ID: 13382","27506"
"80","Sales E Commerce","Revenue - ECM SO ID: 13397","27997"
"80","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13938 ","-234634"
"80","Wholesales (B2B)","Revenue - B2B SO ID: 12800","71280"
"80","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"80","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","-800"
"80","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","-600"
"80","Marketing Expense","Cash Payment - Marketing - New York - White Wine","-600"
"80","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","-800"
"80","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","-600"
"80","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","-600"
"80","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","-800"
"80","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","-800"
"80","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","-800"
"80","Salary Expense","Cash Payment - Salary Expense","-21218"
"80","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13777","-113"
"80","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13935","-69"
"80","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13943","-106"
"80","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13953","-69"
"80","Retail","Revenue - Retail Sales New York - Sparkling Wine","77786"
"80","Retail","Revenue - Retail Sales New York - Red Wine","40848"
"80","Retail","Revenue - Retail Sales New York - White Wine","41158"
"80","Retail","Revenue - Retail Sales Detroit - Red Wine","39420"
"80","Retail","Revenue - Retail Sales Detroit - White Wine","38090"
"80","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","35150"
"80","Retail","Revenue - Retail Sales Los Angeles - Red Wine","17732"
"80","Retail","Revenue - Retail Sales Los Angeles - White Wine","17334"
"80","Rental Expense","Cash Payment - Rental - New York","-4020"
"80","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"80","Rental Expense","Cash Payment - Rental - Miami","-1800"
"80","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"79","Sales E Commerce","Revenue - ECM SO ID: 13006","17454"
"79","Sales E Commerce","Revenue - ECM SO ID: 13016","27889"
"79","Sales E Commerce","Revenue - ECM SO ID: 13186","31869"
"79","Wholesales (B2B)","Revenue - B2B SO ID: 12987","80520"
"79","Wholesales (B2B)","Revenue - B2B SO ID: 13002","168400"
"79","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","-800"
"79","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","-600"
"79","Marketing Expense","Cash Payment - Marketing - New York - White Wine","-600"
"79","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","-800"
